,precision,recall,f1-score,support
banana,1.0,0.9924812030075187,0.9962264150943396,133.0
barley,0.9312977099236641,0.9172932330827067,0.9242424242424242,133.0
basil,0.9295774647887324,0.9924812030075187,0.96,133.0
berseem,0.9090909090909091,0.9774436090225563,0.9420289855072463,133.0
cabbage,0.9051094890510949,0.9323308270676691,0.9185185185185185,133.0
citrus,0.9191176470588235,0.9328358208955224,0.9259259259259259,134.0
coriander,0.8923076923076924,0.8656716417910447,0.8787878787878788,134.0
cotton,0.9696969696969697,0.9624060150375939,0.9660377358490566,133.0
cucumber,0.9849624060150376,0.9776119402985075,0.9812734082397003,134.0
cumin,0.9230769230769231,0.8955223880597015,0.9090909090909091,134.0
date_palm,0.9849624060150376,0.9849624060150376,0.9849624060150376,133.0
eggplant,0.9847328244274809,0.9699248120300752,0.9772727272727273,133.0
faba_bean,0.9477611940298507,0.9548872180451128,0.951310861423221,133.0
garlic,0.9,0.8796992481203008,0.8897338403041825,133.0
grapes,0.9777777777777777,0.9777777777777777,0.9777777777777777,135.0
lentil,0.9323308270676691,0.9323308270676691,0.9323308270676691,133.0
maize,1.0,0.9924812030075187,0.9962264150943396,133.0
mango,0.9083969465648855,0.8947368421052632,0.9015151515151515,133.0
mint,1.0,1.0,1.0,135.0
olive,1.0,0.9849624060150376,0.9924242424242424,133.0
onion,0.9037037037037037,0.9172932330827067,0.9104477611940298,133.0
pepper,0.9844961240310077,0.9548872180451128,0.9694656488549618,133.0
pomegranate,0.9562043795620438,0.9776119402985075,0.966789667896679,134.0
potato,0.9850746268656716,0.9924812030075187,0.9887640449438202,133.0
rice,0.9850746268656716,0.9924812030075187,0.9887640449438202,133.0
sugar_beet,0.9548872180451128,0.9548872180451128,0.9548872180451128,133.0
tomato_summer,1.0,1.0,1.0,133.0
tomato_winter,0.9924812030075187,0.9850746268656716,0.9887640449438202,134.0
watermelon,1.0,0.9924812030075187,0.9962264150943396,133.0
wheat,1.0,0.9699248120300752,0.9847328244274809,133.0
accuracy,0.9585,0.9585,0.9585,0.9585
macro avg,0.9587373689657759,0.9584987759614625,0.9584842706831472,4000.0
weighted avg,0.9587464519950074,0.9585,0.9584896068540494,4000.0
