crop_name,N,P,K,temperature,humidity,ph,season,soil_type,region,growth_stage,label
cucumber,36.56,9.18,79.93,28.04,71.0,8.2,summer,alluvial,north_delta,fruiting,iron_chelate_eddha_6
barley,8.17,16.83,21.81,16.27,56.71,8.04,winter,reclaimed,west_delta,flowering,ammonium_sulphate_206
cucumber,12.67,45.43,175.37,23.77,64.43,7.39,summer,sandy,east_delta,seedling,nutrient_excess
lentil,32.24,33.0,44.7,19.33,41.66,8.27,winter,calcareous,new_lands,flowering,ammonium_molybdate_54
cumin,9.26,7.6,17.57,18.95,39.8,7.66,winter,sandy,upper_egypt,flowering,di_ammonium_phosphate_18_46
barley,35.26,4.47,27.19,14.59,39.21,7.91,winter,calcareous,new_lands,seedling,triple_super_phosphate_46
watermelon,64.46,31.86,116.44,31.58,35.28,8.28,summer,reclaimed,new_lands,vegetative,manganese_sulphate_32
barley,10.17,3.2,34.52,16.04,57.9,7.89,winter,reclaimed,west_delta,seedling,mono_ammonium_phosphate_12_61
garlic,12.69,3.24,24.95,16.38,48.3,8.01,winter,alluvial,upper_egypt,seedling,agricultural_sulphur_99
watermelon,36.8,17.49,44.95,32.72,38.56,7.9,summer,calcareous,new_lands,flowering,magnesium_sulphate_16
olive,7.46,9.79,12.06,18.7,60.0,7.63,permanent,sandy,north_coast,seedling,potassium_nitrate_13_0_46
berseem,25.25,16.89,6.73,15.51,61.03,7.95,winter,clayey_delta,north_delta,fruiting,potassium_nitrate_13_0_46
tomato_summer,94.7,21.82,89.3,24.7,60.06,7.91,summer,loamy_clay,west_delta,vegetative,single_super_phosphate_15
maize,71.94,31.52,18.76,28.29,61.9,8.22,summer,clayey_delta,north_delta,vegetative,zinc_sulphate_22
cabbage,48.92,8.48,22.0,20.97,51.66,8.2,winter,alluvial,south_delta,fruiting,borax_11
maize,99.33,27.4,28.26,26.45,61.36,8.15,summer,clayey_delta,north_delta,vegetative,zinc_sulphate_22
garlic,8.84,5.3,64.16,17.3,58.67,8.4,winter,clayey_delta,south_delta,fruiting,di_ammonium_phosphate_18_46
wheat,67.37,18.77,12.04,21.49,49.09,7.76,winter,loamy_clay,middle_egypt,flowering,no_fertilizer_required
wheat,76.75,29.1,4.05,18.53,60.97,7.9,winter,alluvial,south_delta,seedling,potassium_chloride_60
sugar_beet,15.32,8.79,32.99,17.86,56.56,7.91,winter,loamy_clay,south_delta,seedling,mono_ammonium_phosphate_12_61
mint,37.12,5.58,18.03,27.89,56.73,7.89,permanent,alluvial,south_delta,vegetative,npk_20_20_20
cotton,26.18,5.75,57.93,27.72,68.0,8.0,summer,alluvial,north_delta,flowering,borax_11
eggplant,22.89,20.03,95.11,30.69,57.98,8.02,summer,clayey_delta,south_delta,seedling,ammonium_sulphate_206
