,precision,recall,f1-score,support
agricultural_sulphur_99,0.9802955665024631,0.995,0.9875930521091811,200.0
ammonium_molybdate_54,0.9900990099009901,1.0,0.9950248756218906,200.0
ammonium_nitrate_335,0.9950248756218906,1.0,0.9975062344139651,200.0
ammonium_sulphate_206,0.9656862745098039,0.985,0.9752475247524752,200.0
borax_11,0.9950248756218906,1.0,0.9975062344139651,200.0
calcium_ammonium_nitrate_26,0.9209302325581395,0.99,0.9542168674698795,200.0
calcium_nitrate_155,0.9,0.99,0.9428571428571428,200.0
di_ammonium_phosphate_18_46,0.961352657004831,0.995,0.9778869778869779,200.0
humic_acid_80,0.9174311926605505,1.0,0.9569377990430622,200.0
iron_chelate_eddha_6,0.9803921568627451,1.0,0.9900990099009901,200.0
magnesium_sulphate_16,1.0,1.0,1.0,200.0
manganese_sulphate_32,0.9900497512437811,0.995,0.9925187032418953,200.0
mono_ammonium_phosphate_12_61,0.9852216748768473,1.0,0.9925558312655087,200.0
no_fertilizer_required,0.9411764705882353,0.8,0.8648648648648649,200.0
npk_19_19_19,0.9344262295081968,0.855,0.8929503916449086,200.0
npk_20_20_20,0.9625,0.77,0.8555555555555555,200.0
nutrient_excess,0.9408602150537635,0.875,0.9067357512953368,200.0
phosphoric_acid_85,0.919431279620853,0.97,0.9440389294403893,200.0
potassium_chloride_60,0.9898477157360406,0.975,0.982367758186398,200.0
potassium_nitrate_13_0_46,0.9323671497584541,0.965,0.9484029484029484,200.0
potassium_sulphate_48,0.9536082474226805,0.925,0.9390862944162437,200.0
single_super_phosphate_15,0.8468468468468469,0.94,0.8909952606635071,200.0
triple_super_phosphate_46,0.9641025641025641,0.94,0.9518987341772152,200.0
urea_46,0.9333333333333333,0.91,0.9215189873417722,200.0
zinc_sulphate_22,0.9950248756218906,1.0,0.9975062344139651,200.0
accuracy,0.955,0.955,0.955,0.955
macro avg,0.9558013277982716,0.955,0.9542348785352016,5000.0
weighted avg,0.9558013277982716,0.955,0.9542348785352015,5000.0
