,precision,recall,f1-score,support
agricultural_sulphur_99,0.7509363295880149,0.802,0.7756286266924565,1500.0
ammonium_molybdate_54,0.8272010512483574,0.8393333333333334,0.8332230311052283,1500.0
ammonium_nitrate_335,0.9387527839643652,0.562,0.7030859049207673,1500.0
ammonium_sulphate_206,0.6740250183958794,0.6106666666666667,0.6407834907310248,1500.0
borax_11,0.9756418696510862,0.988,0.9817820470354423,1500.0
calcium_ammonium_nitrate_26,0.6237314597970336,0.5326666666666666,0.5746134483998562,1500.0
calcium_nitrate_155,0.6789855072463769,0.6246666666666667,0.6506944444444445,1500.0
di_ammonium_phosphate_18_46,0.7469788519637462,0.6593333333333333,0.7004249291784702,1500.0
humic_acid_80,0.8364688856729378,0.7706666666666667,0.8022206800832755,1500.0
iron_chelate_eddha_6,0.8046181172291297,0.604,0.69002284843869,1500.0
magnesium_sulphate_16,0.9973172367538564,0.9913333333333333,0.994316282179873,1500.0
manganese_sulphate_32,0.8224151539068666,0.6946666666666667,0.7531622696060716,1500.0
mono_ammonium_phosphate_12_61,0.8653516295025729,0.6726666666666666,0.7569392348087022,1500.0
no_fertilizer_required,0.4595910418695229,0.6293333333333333,0.5312324141812043,1500.0
npk_19_19_19,0.4090909090909091,0.45,0.42857142857142855,1500.0
npk_20_20_20,0.5670900055218111,0.6846666666666666,0.6203563877982483,1500.0
nutrient_excess,0.803921568627451,0.8473333333333334,0.8250567997403441,1500.0
phosphoric_acid_85,0.6214614878209348,0.6293333333333333,0.6253726399470023,1500.0
potassium_chloride_60,0.684287812041116,0.6213333333333333,0.6512928022361985,1500.0
potassium_nitrate_13_0_46,0.502476999292286,0.47333333333333333,0.48746996223824235,1500.0
potassium_sulphate_48,0.6484814398200225,0.7686666666666667,0.7034777303233679,1500.0
single_super_phosphate_15,0.4444444444444444,0.448,0.44621513944223107,1500.0
triple_super_phosphate_46,0.5409192825112108,0.6433333333333333,0.5876979293544458,1500.0
urea_46,0.4053377814845705,0.648,0.4987172909184197,1500.0
zinc_sulphate_22,0.9084027252081757,0.8,0.8507621410847217,1500.0
accuracy,0.6798133333333334,0.6798133333333334,0.6798133333333334,0.6798133333333334
macro avg,0.7015171757061072,0.6798133333333334,0.6845247961384062,37500.0
weighted avg,0.7015171757061072,0.6798133333333334,0.6845247961384062,37500.0
